word_id,status,total_frames,hierarchy_valid,continuity_valid,kinematic_limits_respected,hand_orientation_valid,neutral_pose_aligned,clamped_events_count,clamped_frames_pct,ghost_flips_detected,joints_clamped,glb_size_mb,notes
today,NEEDS_REVIEW,60,True,True,False,True,True,259,100.0,0,LeftArm; LeftForeArm_SigningSpace; RightHandIndex1; RightHandMiddle1; RightHandMiddle2; RightHandMiddle3; RightHandPinky1; RightHandPinky2; RightHandPinky3; RightHandRing1; RightHandRing2; RightHandRing3,4.12,"High joint clamping (100.0% frames on: LeftArm, LeftForeArm_SigningSpace, RightHandIndex1, RightHandMiddle1)."
tomorrow,NEEDS_REVIEW,60,True,True,False,True,True,287,100.0,2,LeftArm; LeftForeArm_SigningSpace; LeftHandMiddle2; LeftHandPinky2; LeftHandRing2; RightArm; RightHandIndex2; RightHandMiddle1; RightHandMiddle2; RightHandMiddle3; RightHandPinky1; RightHandPinky2; RightHandPinky3; RightHandRing1; RightHandRing2; RightHandRing3; RightHand_PalmNormalFlip,4.12,"High joint clamping (100.0% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandMiddle2, LeftHandPinky2).; Corrected 2 ghost flips on Right Hand."
wait,NEEDS_REVIEW,60,True,True,False,True,True,218,100.0,0,LeftArm; LeftForeArm_SigningSpace; LeftHandMiddle1; LeftHandPinky1; LeftHandRing1; RightArm; RightHandIndex2; RightHandMiddle2; RightHandRing2,4.12,"High joint clamping (100.0% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandMiddle1, LeftHandPinky1)."
want_desire_wish_for,NEEDS_REVIEW,60,True,True,False,True,True,337,98.3,4,LeftArm; LeftForeArm_SigningSpace; LeftHandIndex1; LeftHandIndex2; LeftHandMiddle1; LeftHandMiddle2; LeftHandPinky1; LeftHandPinky2; LeftHandRing1; LeftHandRing2; LeftHand_PalmNormalFlip; RightHandIndex1; RightHandMiddle1; RightHandPinky1; RightHandRing1; RightHand_PalmNormalFlip,4.12,"High joint clamping (98.3% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandIndex1, LeftHandIndex2).; Corrected 1 ghost flips on Right Hand.; Corrected 3 ghost flips on Left Hand."
what_happened,NEEDS_REVIEW,60,True,True,False,True,True,250,91.7,0,LeftArm; LeftForeArm_SigningSpace; LeftHandMiddle2; LeftHandMiddle3; LeftHandPinky2; LeftHandPinky3; LeftHandRing2; RightArm; RightForeArm_SigningSpace; RightHandIndex2; RightHandMiddle1; RightHandMiddle2; RightHandPinky1; RightHandPinky2; RightHandRing1; RightHandRing2; RightHandRing3,4.12,"High joint clamping (91.7% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandMiddle2, LeftHandMiddle3)."
what_is_your_name,NEEDS_REVIEW,60,True,True,False,True,True,372,100.0,0,LeftArm; LeftForeArm_SigningSpace; LeftHandIndex1; LeftHandIndex2; LeftHandMiddle1; LeftHandMiddle2; LeftHandPinky1; LeftHandPinky2; LeftHandRing1; LeftHandRing2; RightArm; RightHandIndex1; RightHandIndex2; RightHandIndex3; RightHandMiddle1; RightHandMiddle2; RightHandMiddle3; RightHandPinky1; RightHandPinky2; RightHandRing1; RightHandRing2,4.12,"High joint clamping (100.0% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandIndex1, LeftHandIndex2)."
whats_up,NEEDS_REVIEW,60,True,True,False,True,True,161,100.0,0,LeftArm; LeftForeArm_SigningSpace; RightArm; RightHandIndex2; RightHandIndex3; RightHandMiddle2; RightHandPinky2; RightHandRing2,4.12,"High joint clamping (100.0% frames on: LeftArm, LeftForeArm_SigningSpace, RightArm, RightHandIndex2)."
when_for_days,NEEDS_REVIEW,60,True,True,False,True,True,300,100.0,0,LeftArm; LeftForeArm_SigningSpace; LeftHandPinky3; LeftHandRing2; LeftHandRing3,4.12,"High joint clamping (100.0% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandPinky3, LeftHandRing2)."
where,NEEDS_REVIEW,60,True,True,False,True,True,139,95.0,3,LeftArm; LeftForeArm_SigningSpace; LeftHandIndex2; LeftHandMiddle2; LeftHandPinky2; LeftHandRing2; LeftHand_PalmNormalFlip; RightArm; RightHandPinky2; RightHandPinky3; RightHandRing2; RightHand_PalmNormalFlip,4.12,"High joint clamping (95.0% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandIndex2, LeftHandMiddle2).; Corrected 1 ghost flips on Right Hand.; Corrected 2 ghost flips on Left Hand."
which,NEEDS_REVIEW,60,True,True,False,True,True,217,100.0,4,LeftArm; LeftForeArm_SigningSpace; LeftHandIndex2; LeftHandMiddle2; LeftHandPinky2; LeftHandRing2; LeftHandThumb2; RightHandIndex2; RightHandMiddle2; RightHandMiddle3; RightHandPinky1; RightHandPinky2; RightHandRing1; RightHandRing2; RightHandRing3; RightHand_PalmNormalFlip,4.12,"High joint clamping (100.0% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandIndex2, LeftHandMiddle2).; Corrected 4 ghost flips on Right Hand."
while,NEEDS_REVIEW,60,True,True,False,True,True,423,96.7,2,LeftArm; LeftForeArm_SigningSpace; LeftHandIndex2; LeftHandIndex3; LeftHandMiddle1; LeftHandMiddle2; LeftHandMiddle3; LeftHandPinky1; LeftHandPinky2; LeftHandPinky3; LeftHandRing1; LeftHandRing2; LeftHandRing3; LeftHand_PalmNormalFlip; RightArm; RightHandIndex2; RightHandMiddle1; RightHandMiddle2; RightHandMiddle3; RightHandPinky1; RightHandPinky2; RightHandPinky3; RightHandRing1; RightHandRing2; RightHandRing3,4.12,"High joint clamping (96.7% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandIndex2, LeftHandIndex3).; Corrected 2 ghost flips on Left Hand."
why_sign_1,NEEDS_REVIEW,60,True,True,False,True,True,214,100.0,0,LeftArm; LeftForeArm_SigningSpace; RightArm; RightForeArm_SigningSpace; RightHandIndex3; RightHandMiddle2; RightHandMiddle3; RightHandRing2; RightHandRing3,4.12,"High joint clamping (100.0% frames on: LeftArm, LeftForeArm_SigningSpace, RightArm, RightForeArm_SigningSpace)."
win,NEEDS_REVIEW,60,True,True,False,True,True,284,100.0,0,LeftArm; LeftForeArm_SigningSpace; RightArm; RightHandIndex1; RightHandIndex2; RightHandIndex3; RightHandMiddle1; RightHandMiddle2; RightHandMiddle3; RightHandPinky1; RightHandPinky2; RightHandPinky3; RightHandRing1; RightHandRing2; RightHandRing3,4.12,"High joint clamping (100.0% frames on: LeftArm, LeftForeArm_SigningSpace, RightArm, RightHandIndex1)."
